LSOA11CD,crime_count,hotspot_10,ptal_score,imd_score,pop_density,road_density,node_density
E01000300,177.0,0.0,11.132,12.253,9608.1,33773.0,488.0
E01000301,153.0,0.0,11.159,7.059,5236.4,35254.0,529.0
E01000302,356.0,0.0,14.058,15.595,8280.3,36534.0,1001.0
E01000303,136.0,0.0,7.755,6.805,6937.6,33959.0,518.0
E01000304,176.0,0.0,8.914,13.531,8766.9,30261.0,576.0
E01000305,650.0,0.0,4.536,27.857,2352.3,35318.0,922.0
E01000306,157.0,0.0,10.646,14.045,13444.7,77712.0,814.0
E01000307,2280.0,1.0,13.583,23.325,3297.4,73494.0,2745.0
E01000308,342.0,0.0,3.593,31.832,3989.4,23820.0,669.0
E01000309,268.0,0.0,13.425,13.899,7065.1,41104.0,1100.0
E01000310,629.0,0.0,16.942,19.223,7194.9,62803.0,1904.0
E01000311,322.0,0.0,11.253,11.072,5074.5,36759.0,976.0
E01000312,405.0,0.0,7.464,24.927,12060.0,42805.0,1468.0
E01000313,446.0,0.0,12.428,19.932,8712.2,58218.0,1164.0
E01000314,476.0,0.0,17.889,10.677,8632.9,47595.0,1379.0
E01000315,328.0,0.0,4.28,32.727,3361.0,44052.0,1738.0
E01000316,885.0,1.0,5.176,19.874,5627.5,59144.0,1880.0
E01000317,241.0,0.0,13.009,10.85,9273.2,39284.0,621.0
E01000318,243.0,0.0,7.655,14.711,7069.4,26196.0,545.0
E01000319,169.0,0.0,5.795,9.915,8817.6,40084.0,533.0
E01000320,201.0,0.0,4.418,8.719,8289.8,33131.0,610.0
E01000321,395.0,0.0,8.32,14.405,11199.3,54540.0,780.0
E01000322,336.0,0.0,5.712,14.866,9086.0,42364.0,939.0
E01000323,979.0,1.0,12.345,18.834,11050.4,44855.0,780.0
E01000324,254.0,0.0,6.648,13.755,6746.5,36350.0,850.0
E01000325,150.0,0.0,8.327,5.875,4209.0,25783.0,557.0
E01000326,173.0,0.0,3.414,11.973,5053.1,34504.0,1008.0
E01000327,126.0,0.0,13.2,7.68,4154.1,27516.0,538.0
E01000328,244.0,0.0,2.851,11.404,3013.1,25921.0,764.0
E01000329,243.0,0.0,8.284,15.875,3523.2,22867.0,507.0
E01000330,657.0,0.0,17.442,17.867,6491.6,35022.0,1047.0
E01000331,431.0,0.0,3.103,28.281,3161.7,36856.0,860.0
E01000332,190.0,0.0,7.26,16.091,5726.1,44440.0,1143.0
E01000333,519.0,0.0,4.655,25.871,6596.7,66335.0,4487.0
E01000334,247.0,0.0,3.743,12.987,6320.8,44994.0,2067.0
E01000335,939.0,1.0,4.474,31.73,1961.9,30138.0,961.0
E01000336,524.0,0.0,8.935,31.362,11050.9,64641.0,1893.0
E01000337,255.0,0.0,4.864,19.57,6319.6,39939.0,1581.0
E01000338,291.0,0.0,7.486,18.89,10704.4,63556.0,2230.0
E01000339,136.0,0.0,4.675,16.3,6346.5,89861.0,2553.0
E01000340,107.0,0.0,2.616,12.831,6810.0,50171.0,1677.0
E01000341,104.0,0.0,3.276,8.884,6345.7,52344.0,2043.0
E01000342,124.0,0.0,2.815,8.918,6965.3,62440.0,1622.0
E01000343,202.0,0.0,4.573,8.347,4980.2,68144.0,3378.0
E01000344,219.0,0.0,4.493,6.105,7025.6,64122.0,1782.0
E01000345,108.0,0.0,4.672,6.252,6461.2,85864.0,2870.0
E01000346,186.0,0.0,3.835,9.662,4563.2,46480.0,1025.0
E01000347,164.0,0.0,4.943,11.175,7740.5,68838.0,1465.0
E01000348,82.0,0.0,3.235,4.979,5163.6,48248.0,1951.0
E01000349,143.0,0.0,4.258,7.459,5169.5,37796.0,1636.0
E01000350,165.0,0.0,3.734,7.89,5513.9,67801.0,2547.0
E01000351,142.0,0.0,3.141,7.587,5156.7,37599.0,1443.0
E01000352,421.0,0.0,4.45,14.763,4699.4,44501.0,1724.0
E01000353,93.0,0.0,3.897,5.202,4846.1,26996.0,361.0
E01000354,168.0,0.0,6.972,21.316,7263.9,29377.0,439.0
E01000355,165.0,0.0,7.684,8.189,3426.1,38160.0,1128.0
E01000356,202.0,0.0,12.157,7.94,5067.9,29144.0,486.0
E01000357,76.0,0.0,6.538,4.079,6959.3,35326.0,367.0
E01000358,224.0,0.0,8.542,6.15,5629.9,31779.0,510.0
E01000359,134.0,0.0,4.703,6.167,6203.3,49619.0,416.0
E01000360,1324.0,1.0,16.179,18.65,4343.9,44590.0,2129.0
E01000361,102.0,0.0,5.087,11.27,5576.6,39212.0,667.0
E01000362,1493.0,1.0,15.062,12.63,4726.2,46229.0,2161.0
E01000363,159.0,0.0,5.381,9.306,3724.3,36300.0,796.0
E01000364,168.0,0.0,3.823,12.692,3923.3,37190.0,1177.0
E01000365,370.0,0.0,10.991,14.39,5067.4,35492.0,969.0
E01000366,196.0,0.0,15.436,9.865,6955.0,29704.0,662.0
E01000367,343.0,0.0,3.21,30.905,8658.8,50035.0,1425.0
E01000368,244.0,0.0,2.418,33.932,7064.8,31864.0,827.0
E01000369,158.0,0.0,4.215,14.638,6490.0,25590.0,531.0
E01000370,170.0,0.0,10.758,11.364,4783.5,28532.0,542.0
E01000371,142.0,0.0,4.977,8.174,6997.8,25080.0,316.0
E01000372,339.0,0.0,3.504,29.915,7365.9,34417.0,802.0
E01000373,240.0,0.0,3.114,29.344,14887.6,65673.0,3142.0
E01000374,319.0,0.0,2.264,42.38,2121.5,27928.0,989.0
E01000375,327.0,0.0,6.521,18.295,4958.1,26154.0,790.0
E01000376,210.0,0.0,2.193,16.232,2934.0,27651.0,750.0
E01000377,277.0,0.0,1.626,12.286,3423.9,35667.0,1441.0
E01000378,272.0,0.0,4.313,21.241,3743.6,31569.0,1631.0
E01000379,227.0,0.0,7.054,18.601,5280.7,24189.0,757.0
E01000380,264.0,0.0,5.189,23.317,7729.3,39668.0,1262.0
E01000381,253.0,0.0,1.431,27.812,786.2,20207.0,541.0
E01000382,122.0,0.0,3.012,6.444,2687.6,31561.0,1138.0
E01000383,233.0,0.0,0.677,21.082,571.8,18456.0,504.0
E01000384,186.0,0.0,7.692,12.076,5733.8,71542.0,5552.0
E01000385,541.0,0.0,3.618,32.32,3357.9,44864.0,1981.0
E01000386,486.0,0.0,6.656,41.618,2787.7,56765.0,2487.0
E01000387,108.0,0.0,7.448,12.348,5066.7,35100.0,933.0
E01000388,157.0,0.0,4.359,10.762,2854.7,26220.0,863.0
E01000389,270.0,0.0,8.036,11.233,3845.3,29171.0,939.0
E01000390,214.0,0.0,2.899,10.167,2445.4,31508.0,933.0
E01000391,179.0,0.0,1.681,13.901,3756.7,30585.0,756.0
