LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density
E01001229,230.0,0.0,0.0,0.0,0.0,30.226,3,7.69599,7452.1,40939.0,616.0
E01001230,364.0,0.0,0.0,0.0,0.0,21.257,5,8.20796,7157.8,25842.0,591.0
E01001231,360.0,0.0,0.0,0.0,0.0,13.847,7,13.3763,5089.6,30083.0,1088.0
E01001232,225.0,0.0,0.0,0.0,0.0,23.753,4,3.38281,7219.6,39651.0,1093.0
E01001233,368.0,0.0,0.0,0.0,0.0,23.841,4,12.0256,8453.4,54256.0,1313.0
E01001234,482.0,0.0,0.0,0.0,0.0,22.923,4,16.0027,4477.1,38360.0,1127.0
E01001235,385.0,0.0,0.0,0.0,0.0,14.225,7,28.2544,6465.0,41563.0,1493.0
E01001236,210.0,0.0,0.0,0.0,0.0,16.278,6,14.1672,10527.8,41817.0,854.0
E01001237,370.0,0.0,0.0,0.0,0.0,17.023,6,4.9571,6622.9,33792.0,927.0
E01001238,,,,,,24.534,4,18.5242,,54058.0,2948.0
E01001239,343.0,0.0,0.0,0.0,0.0,32.662,3,14.9832,3567.0,35687.0,1296.0
E01001240,372.0,0.0,0.0,0.0,0.0,20.451,5,21.5877,9297.0,77095.0,2712.0
E01001241,467.0,0.0,0.0,0.0,0.0,22.203,4,9.75545,5253.5,48301.0,1574.0
E01001242,265.0,0.0,0.0,0.0,0.0,26.914,3,3.50465,7775.6,50374.0,1137.0
E01001243,469.0,0.0,0.0,0.0,0.0,25.381,4,13.3793,10766.5,51109.0,1552.0
E01001244,497.0,0.0,0.0,0.0,0.0,28.857,3,10.7863,13046.7,50871.0,1624.0
E01001245,526.0,0.0,0.0,0.0,0.0,15.441,6,10.9549,19629.6,47877.0,896.0
E01001246,855.0,0.0,1.0,1.0,1.0,32.021,3,12.8549,1817.2,30296.0,1129.0
E01001247,2268.0,1.0,1.0,1.0,1.0,21.278,5,10.3616,1998.6,40799.0,1508.0
