osm_id,code,fclass,name
"1148054869","2401",hotel,Green Rooms
"1148056411","2205",playground,
"1148163550","2422",camp_site,Wayland Scout Campsite
"1148557265","2252",pitch,
"1148557267","2252",pitch,
"1148579519","2252",pitch,
"1148676906","2252",pitch,
"1148676907","2253",swimming_pool,
"1148676908","2253",swimming_pool,
"1148768069","2252",pitch,
"1148768070","2252",pitch,
"1148768071","2252",pitch,
"1148768072","2252",pitch,
"1148768073","2252",pitch,
"1148768074","2252",pitch,
"1148768075","2252",pitch,
"1148771076","2252",pitch,
"1148771077","2252",pitch,
"1148860660","2258",track,
"1149191179","2204",park,
"1149191196","2421",shelter,
"1149191197","2421",shelter,
"1149389315","2205",playground,
"1149492663","2016",market_place,
"1149616851","2511",convenience,Londis
"15536751","2204",park,Trinity Gardens
"1149783008","2252",pitch,
"1149783065","2205",playground,
"1149973628","2904",fountain,
"1150124878","2082",school,South Park Primary School
"1150145876","2012",community_centre,Green Towers Community Centre
"1150230543","2732",ruins,
"1150230545","2732",ruins,
"1150532479","2121",dentist,Damira
"1150659869","2252",pitch,
"1150823451","2252",pitch,
"1150823456","2014",arts_centre,
"1150937361","2252",pitch,
"1150937363","2204",park,Exploratory Park Brent Cross
"1150937365","2204",park,Claremont Park
"1150937366","2701",tourist_info,Brent Cross Town Visitor Pavilion
"1151018914","2252",pitch,
"1151018915","2252",pitch,
"1151026096","2082",school,Beacon Business Innovation Hub
"1151283062","2561",hairdresser,
"1151283066","2511",convenience,York Supermarket
"1151283073","2303",cafe,Kitchenette
"1151283075","2401",hotel,York Hotel
"1151283076","2561",hairdresser,Finesse
"1151283077","2301",restaurant,Tirana
"1151283078","2301",restaurant,Cafeccino
"1151283081","2301",restaurant,Mei Sun
"1151317752","2601",bank,NatWest
"1151317754","2528",greengrocer,
"1151317756","2303",cafe,Pasha Cafe
"1151317760","2303",cafe,Bubbles Cafe
"1151317764","2529",beauty_shop,Nails & Spa Ilford
"1151377125","2252",pitch,
"1151377126","2258",track,
"1151377127","2258",track,
"1151377131","2303",cafe,Ice Cream and Tea Parlor
"1151377136","2252",pitch,
"1151380618","2121",dentist,Bromley Dental Practice
"1151380780","2307",biergarten,Beer Garden
"1151395105","2564",car_wash,Carwash
"1151517460","2252",pitch,Barnes Common Cricket Ground
"1151615470","2205",playground,
